"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"244","Jaycob Megna","S.J, SEA","D","54","906.96666666667","1","9","4","5","10","22.22"
"245","Liam O'Brien","ARI","C","56","579.4","3","7","4","3","10","62.50"
"253","Saku Maenalanen","WPG","R","64","561.63333333333","4","6","2","4","10","71.43"
"295","Nathan Walker","STL","L","56","535.36666666667","2","8","4","4","10","43.48"
"359","Jordan Greenway","BUF, MIN","L","62","769.55","5","5","2","3","10","34.48"
"381","Jeremy Lauzon","NSH","D","67","942.88333333333","3","7","1","6","10","34.48"
"434","Andrew Peeke","CBJ","D","80","1408.1333333333","5","5","2","3","10","22.73"
"466","Zack MacEwen","L.A, PHI","C","56","608.13333333333","4","6","1","5","10","62.50"
"502","Ryan Poehling","PIT","C","53","483.71666666667","4","6","5","1","10","66.67"
"525","Sheldon Dries","VAN","C","63","597.16666666667","6","4","2","2","10","45.45"
"540","Isac Lundestrom","ANA","C","61","705.43333333333","3","7","3","4","10","50.00"
"629","Arber Xhekaj","MTL","D","51","713.73333333333","3","7","5","2","10","41.67"
"38","Nicklas Backstrom","WSH","C","39","487.95","1","8","5","3","9","64.29"
"156","Colin Blackwell","CHI","C","53","536.18333333333","2","7","6","1","9","64.29"
"192","Connor Murphy","CHI","D","80","1345.7333333333","4","5","3","2","9","20.93"
"200","Brad Hunt","COL","D","47","515.75","3","6","3","3","9","45.00"
"209","Mark Jankowski","NSH","C","50","514.05","4","5","3","2","9","75.00"
"226","Devin Shore","EDM","C","47","403.15","1","8","6","2","9","69.23"
"227","Jujhar Khaira","CHI","L","51","571.9","4","5","2","3","9","56.25"
"322","Brendan Lemieux","L.A, PHI","L","45","441.05","2","7","5","2","9","60.00"
"436","Dante Fabbro","NSH","D","79","1181.4","1","8","3","5","9","25.00"
"455","Brandon Duhaime","MIN","R","51","493.15","8","1","1","0","9","50.00"
"541","Mattias Samuelsson","BUF","D","55","1026.0666666667","2","7","3","4","9","16.36"
"572","Simon Benoit","ANA","D","78","1233","3","6","1","5","9","22.50"
"577","Brett Leason","ANA","R","54","578.51666666667","6","3","2","1","9","69.23"
"593","Simon Holmstrom","NYI","R","50","534.15","6","3","1","2","9","64.29"
"604","Dylan Holloway","EDM","L","51","449.21666666667","3","6","2","4","9","52.94"
"74","Michael Stone","CGY","D","48","585.55","5","3","1","2","8","27.59"
"138","Austin Watson","OTT","L","75","598.86666666667","6","2","1","1","8","61.54"
"146","Jarred Tinordi","CHI","D","44","639.48333333333","2","6","2","4","8","50.00"
"175","Joel Edmundson","MTL","D","61","948.15","2","6","1","5","8","22.22"
"440","Riley Stillman","BUF, VAN","D","50","677.05","1","7","2","5","8","26.67"
"461","Dylan Gambrell","OTT","C","60","544.83333333333","4","4","3","1","8","53.33"
"473","Mario Ferraro","S.J","D","72","1253.7666666667","2","6","1","5","8","19.05"
"490","Jack Studnicka","BOS, VAN","C","48","473.51666666667","4","4","1","3","8","100.00"
"492","MacKenzie Entwistle","CHI","R","66","677","3","5","1","4","8","47.06"
