Player,Cap_Hit
446. Logan O'Connor,"$1,050,000"
447. Joel Kiviranta,"$1,050,000"
448. Trent Frederic,"$1,050,000"
449. Michael Anderson,"$1,000,000"
450. David Krejci,"$1,000,000"
451. Danton Heinen,"$1,000,000"
452. Justin Braun,"$1,000,000"
453. Nicolas Aubé-Kubel,"$1,000,000"
454. Curtis Lazar,"$1,000,000"
455. Patrick Maroon,"$1,000,000"
456. Corey Perry,"$1,000,000"
457. Pierre-Édouard Bellemare,"$1,000,000"
458. Connor Clifton,"$1,000,000"
459. Kurtis MacDermid,"$987,500"
460. Jujhar Khaira,"$975,000"
461. Michael McLeod,"$975,000"
462. Noah Gregor,"$950,000"
463. Jack Johnson,"$950,000"
464. Andrei Kuzmenko,"$950,000"
465. Dylan Gambrell,"$950,000"
466. Robert Bortuzzo,"$950,000"
467. Michael Bunting,"$950,000"
468. Trevor van Riemsdyk,"$950,000"
469. Zack MacEwen,"$925,000"
470. Kirill Marchenko,"$925,000"
471. Kent Johnson,"$925,000"
472. Noah Cates,"$925,000"
473. Jake Sanderson,"$925,000"
474. Cole Sillinger,"$925,000"
475. Anton Lundell,"$925,000"
476. Nils Lundkvist,"$925,000"
477. Jonatan Berggren,"$925,000"
478. Dylan Holloway,"$925,000"
479. Lucas Raymond,"$925,000"
480. Shane Pinto,"$925,000"
481. Braden Schneider,"$925,000"
482. Tim Stützle,"$925,000"
483. Alexis Lafrenière,"$925,000"
484. Morgan Barron,"$925,000"
485. Dylan Samberg,"$925,000"
486. Tim Berni,"$925,000"
487. Trevor Zegras,"$925,000"
488. Mattias Samuelsson,"$925,000"
489. K'Andre Miller,"$925,000"
490. Owen Power,"$916,667"
491. Alex Newhook,"$908,333"
492. Erik Brännström,"$900,000"
493. Emil Bemström,"$900,000"
494. Josh Archibald,"$900,000"
495. Nick Bjugstad,"$900,000"
496. William Borgen,"$900,000"
497. Jarred Tinordi,"$900,000"
498. Matthew Beniers,"$897,500"
499. Wyatt Johnston,"$894,167"
500. Mason McTavish,"$894,167"
501. Seth Jarvis,"$894,167"
502. Dawson Mercer,"$894,167"
503. Cole Perfetti,"$894,167"
504. Quinton Byfield,"$894,167"
505. Arthur Kaliyev,"$894,167"
506. Bowen Byram,"$894,167"
507. Dylan Cozens,"$894,167"
508. Joseph Veleno,"$894,167"
509. J.J. Moser,"$886,667"
510. Nils Åman,"$883,750"
511. Jack McBain,"$883,750"
512. Cam York,"$880,833"
513. Matthew Boldy,"$880,833"
514. Cole Caufield,"$880,833"
515. Vitali Kravtsov,"$875,000"
516. Jesper Boqvist,"$874,125"
517. Cody Glass,"$874,125"
518. Jack Quinn,"$863,333"
519. Kaiden Guhle,"$863,333"
520. Peyton Krebs,"$863,333"
521. Simon Holmström,"$863,333"
522. Moritz Seider,"$863,333"
523. Philip Broberg,"$863,333"
524. Ty Dellandrea,"$863,333"
525. Evan Bouchard,"$863,333"
526. Rasmus Kupari,"$863,333"
527. John-Jason Peterka,"$855,833"
528. Matias Maccelli,"$853,333"
529. Juuso Pärssinen,"$850,833"
530. Nathan Beaulieu,"$850,000"
531. Calvin De Haan,"$850,000"
532. Sam Carrick,"$850,000"
533. Cal Foote,"$850,000"
534. Luke Schenn,"$850,000"
535. Zach Bogosian,"$850,000"
536. Matt Nieto,"$850,000"
537. Devin Shore,"$850,000"
538. Nick Perbix,"$842,500"
539. Jordan Harris,"$842,500"
540. Zach Aston-Reese,"$840,630"
541. Jake Neighbours,"$835,833"
542. Arber Xhekaj,"$828,333"
543. Sam Steel,"$825,000"
544. Gabriel Vilardi,"$825,000"
545. Dakota Joshua,"$825,000"
546. Pierre-Olivier Joseph,"$825,000"
547. Karson Kuhlman,"$825,000"
548. Sebastian Aho,"$825,000"
549. Rasmus Asplund,"$825,000"
550. Nathan Bastian,"$825,000"
551. Mark Kastelic,"$821,667"
552. Morgan Frost,"$800,000"
553. Trevor Lewis,"$800,000"
554. Erik Gustafsson,"$800,000"
555. Julien Gauthier,"$800,000"
556. Connor Dewar,"$800,000"
557. Mark Giordano,"$800,000"
558. Reese Johnson,"$800,000"
559. Chad Ruhwedel,"$800,000"
560. Ryan Lomberg,"$800,000"
561. Mackenzie Entwistle,"$800,000"
562. Tanner Jeannot,"$800,000"
563. Ryan McLeod,"$798,000"
564. Calen Addison,"$795,000"
565. Kevin Bahl,"$795,000"
566. Martin Fehérváry,"$791,667"
567. Aliaksei Protas,"$789,167"
568. Andrew Peeke,"$787,500"
569. Wade Allison,"$785,000"
570. David Gustafsson,"$775,000"
571. Brett Leason,"$775,000"
572. Nick Seeler,"$775,000"
573. Liam O'Brien,"$775,000"
574. Johnathan Kovacevic,"$766,667"
575. Adam Ruzicka,"$762,500"
576. Jack Studnicka,"$762,500"
577. Brad Hunt,"$762,500"
578. Colton White,"$762,500"
579. AJ Greer,"$762,500"
580. Stefan Noesen,"$762,500"
581. Jacob MacDonald,"$762,500"
582. Sheldon Dries,"$762,500"
583. Liam Foudy,"$762,500"
584. Chris Wideman,"$762,500"
585. Calle Rosén,"$762,500"
586. Jaycob Megna,"$762,500"
587. Michael Amadio,"$762,500"
588. Jalen Chatfield,"$762,500"
589. Parker Kelly,"$762,500"
590. Paul Cotter,"$760,000"
591. Boris Katchouk,"$758,333"
592. Taylor Raddysh,"$758,333"
593. Ben Harpur,"$750,000"
594. Tyler Pitlick,"$750,000"
595. Eric Staal,"$750,000"
596. Sonny Milano,"$750,000"
597. Michael Stone,"$750,000"
598. Derek Stepan,"$750,000"
599. Derick Brassard,"$750,000"
600. Jimmy Vesey,"$750,000"
601. Daniel Sprong,"$750,000"
602. Scott Harrington,"$750,000"
603. Brett Ritchie,"$750,000"
604. Evgeny Svechnikov,"$750,000"
605. Sam Gagner,"$750,000"
606. Hudson Fasching,"$750,000"
607. Philipp Kurashev,"$750,000"
608. Fabian Zetterlund,"$750,000"
609. Klim Kostin,"$750,000"
610. Jaret Anderson-Dolan,"$750,000"
611. Simon Benoit,"$750,000"
612. Saku Maenalanen,"$750,000"
613. Thomas Novak,"$750,000"
614. Matt Irwin,"$750,000"
615. Cole Smith,"$750,000"
616. Mark Jankowski,"$750,000"
617. Josh Leivo,"$750,000"
618. Denis Malgin,"$750,000"
619. Andreas Englund,"$750,000"
620. Kevin Stenlund,"$750,000"
621. Marc Staal,"$750,000"
622. Alexander Edler,"$750,000"
623. Michael Pezzetta,"$750,000"
624. Zach Parise,"$750,000"
625. Drew O'Connor,"$750,000"
626. Alexey Toropchenko,"$750,000"
627. Ryan Poehling,"$750,000"
628. Mason Shaw,"$750,000"
629. Josh Mahura,"$750,000"
630. Stuart Skinner,"$750,000"
631. Brandon Duhaime,"$750,000"
632. Mathieu Olivier,"$750,000"
633. Gavin Bayreuther,"$750,000"
634. Patrick Brown,"$750,000"
635. Kyle Burroughs,"$750,000"
636. Michael Eyssimont,"$750,000"
637. Nathan Walker,"$750,000"
638. Jayson Megna,"$750,000"
639. Axel Jonsson-Fjällby,"$750,000"
640. Alexandre Carrier,"$733,333"
