"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"258","Devin Shore","EDM","C","49","404.8","4","6","4","2","10","66.67"
"273","Matthew Benning","NSH","D","65","885.21666666667","0","10","6","4","10","38.46"
"281","Danny DeKeyser","DET","D","59","917.15","0","10","6","4","10","35.71"
"292","Connor Clifton","BOS","D","60","867.36666666667","2","8","3","5","10","29.41"
"324","Sean Monahan","CGY","C","65","743.61666666667","3","7","5","2","10","47.62"
"339","Ryan Carpenter","CGY, CHI","C","67","679","2","8","3","5","10","62.50"
"423","Caleb Jones","CHI","D","51","783.85","4","6","3","3","10","34.48"
"446","Dean Kukan","CBJ","D","41","605.96666666667","3","7","1","6","10","31.25"
"494","Riley Stillman","CHI","D","52","705.56666666667","2","8","6","2","10","37.04"
"522","Gerry Mayhew","ANA, PHI","C","40","478.18333333333","9","1","0","1","10","62.50"
"534","Casey Mittelstadt","BUF","C","40","496.98333333333","4","6","3","3","10","55.56"
"569","Sebastian Aho","NYI","D","36","545.38333333333","2","8","1","7","10","43.48"
"599","Alexander Romanov","MTL","D","79","1355.25","3","7","2","5","10","18.18"
"628","Braden Schneider","NYR","D","43","630.73333333333","2","8","3","5","10","43.48"
"98","Marco Scandella","STL","D","70","1071.3833333333","2","7","3","4","9","17.65"
"110","Tyler Bozak","STL","C","50","513.15","2","7","3","4","9","75.00"
"183","Jani Hakanpaa","DAL","D","80","1077.5333333333","2","7","3","4","9","23.08"
"193","Dylan DeMelo","WPG","D","76","1167.6833333333","0","9","4","5","9","21.43"
"268","Dominic Toninato","WPG","C","77","522.18333333333","6","3","3","0","9","64.29"
"308","Jason Dickinson","VAN","C","62","698.46666666667","4","5","2","3","9","50.00"
"341","Patrick Brown","PHI","C","44","460.16666666667","4","5","4","1","9","64.29"
"392","Jacob Middleton","MIN, S.J","D","66","1072.1333333333","3","6","3","3","9","19.57"
"440","Gabriel Carlsson","CBJ","D","38","431.61666666667","2","7","3","4","9","39.13"
"463","Kevin Rooney","NYR","C","61","687.78333333333","5","4","2","2","9","60.00"
"512","Lucas Carlsson","FLA","D","40","497.75","3","6","3","3","9","36.00"
"518","Dylan Coghlan","VGK","D","59","746.81666666667","1","8","4","4","9","37.50"
"521","Zack MacEwen","PHI","C","75","706.91666666667","3","6","3","3","9","45.00"
"529","Cal Foote","T.B","D","56","714.33333333333","2","7","4","3","9","25.71"
"570","Sean Durzi","L.A","D","64","961.31666666667","1","8","4","4","9","24.32"
"583","Mattias Samuelsson","BUF","D","42","714.48333333333","0","9","5","4","9","28.13"
"590","Rasmus Kupari","L.A","C","57","603.68333333333","3","6","4","2","9","56.25"
"597","Karson Kuhlman","BOS, SEA","C","44","470.8","2","7","2","5","9","75.00"
"600","Jasper Weatherby","S.J","C","50","490.98333333333","4","5","3","2","9","69.23"
"635","Quinton Byfield","L.A","C","40","457.3","5","4","4","0","9","69.23"
"14","Brad Richardson","CGY, VAN","R","44","411.8","4","4","2","2","8","72.73"
"19","Andrew Ladd","ARI","L","51","587.55","4","4","1","3","8","50.00"
"34","Kris Russell","EDM","D","31","408.4","1","7","3","4","8","40.00"
"35","Keith Yandle","PHI","D","77","875.81666666667","0","8","3","5","8","33.33"
"77","Alec Martinez","VGK","D","26","450.81666666667","3","5","1","4","8","38.10"
"85","Zach Bogosian","T.B","D","48","705.06666666667","3","5","2","3","8","36.36"
"108","Antoine Roussel","ARI","L","53","538.6","4","4","4","0","8","66.67"
"141","Cody Eakin","BUF","C","69","825.5","3","5","0","5","8","40.00"
"222","Joel Armia","MTL","R","60","675.3","4","4","3","1","8","42.11"
"242","Olli Maatta","L.A","D","66","1054.0833333333","1","7","2","5","8","20.51"
"278","Jaycob Megna","S.J","D","44","734.25","2","6","3","3","8","32.00"
"387","Anders Bjork","BUF","L","58","653.81666666667","5","3","3","0","8","50.00"
"414","Christian Fischer","ARI","R","53","576.41666666667","4","4","3","1","8","72.73"
"525","Gavin Bayreuther","CBJ","D","43","535.08333333333","0","8","3","5","8","29.63"
"622","Tobias Bjornfot","L.A","D","70","1048.65","0","8","3","5","8","23.53"
"27","Jack Johnson","COL","D","74","1050.6833333333","1","6","2","4","7","18.92"
"67","Brendan Smith","CAR","D","45","571.86666666667","3","4","2","2","7","30.43"
"107","Jordie Benn","MIN","D","39","540.65","0","7","4","3","7","24.14"
"217","Sean Couturier","PHI","C","29","417.43333333333","3","4","2","2","7","46.67"
"340","Jordan Oesterle","DET","D","45","744.86666666667","1","6","4","2","7","25.00"
"376","Jake Walman","DET, STL","D","51","646.73333333333","1","6","2","4","7","36.84"
"448","Will Borgen","SEA","D","36","505.28333333333","2","5","4","1","7","50.00"
"475","Cam Dineen","ARI","D","34","470.55","0","7","3","4","7","50.00"
"488","Josh Mahura","ANA","D","38","517.48333333333","3","4","2","2","7","53.85"
"492","Boris Katchouk","CHI, T.B","L","59","543.85","3","4","2","2","7","53.85"
"508","Nikita Zaitsev","OTT","D","62","973","1","6","3","3","7","19.44"
"533","Mikey Anderson","L.A","D","57","1006.7166666667","2","5","4","1","7","16.67"
"627","Joel Kiviranta","DAL","L","56","524.16666666667","1","6","2","4","7","50.00"
"104","Matt Martin","NYI","L","71","795.15","2","4","3","1","6","27.27"
"123","Calvin de Haan","CHI","D","69","1150.6833333333","3","3","2","1","6","17.14"
"280","Andrej Sustr","ANA, T.B","D","38","512.83333333333","1","5","2","3","6","42.86"
"290","Will Butcher","BUF","D","37","564.28333333333","2","4","2","2","6","33.33"
